ZX_WD_1_1,ZX_WD_1_2,ZX_WD_1_3,ZX_WD_1_4,ZX_WD_1_5,ZX_WD_1_6,ZX_HW1_1,ZX_HW2_1,ZD_LCG,ZD_TFG,ZD_JHG,ZD_LLJ,ZD_SPEED
27.000000,32.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,32.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,32.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,32.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.655172,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.310345,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,427.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.967742,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.645161,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.322581,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,426.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.740741,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.370371,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.909090,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.775000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.525000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.275000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.025000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,425.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.166667,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,31.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,424.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,28.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.703704,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.333333,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.677419,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.354839,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.032258,27.000000,26.000000,27.000000,28.000000,423.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.000000,27.000000,26.000000,27.000000,28.000000,422.709677,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.000000,27.000000,26.000000,27.000000,28.000000,422.387097,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.000000,27.000000,26.000000,27.000000,28.000000,422.064516,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.275862,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.620690,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,27.965517,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,30.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.700000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.366667,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.033333,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,422.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,421.689655,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,421.344828,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,421.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,421.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,421.000000,554.000000,430.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,426.086979,554.000000,437.434815,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,476.956511,554.000000,511.782592,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,527.826094,554.000000,586.130445,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,545.200000,554.000000,601.000000,-1.000000,0.000000
27.000000,29.000000,29.000000,28.000000,27.000000,26.000000,27.000000,28.000000,553.400000,554.000000,601.000000,-1.000000,0.000000
